"Страна","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Каймановы острова","23","18","0.21739130434782608","2.4347826086956523","00:00:48"
"Бутан","22","18","0.5909090909090909","1.1363636363636365","00:01:16"
"Лесото","22","15","0.36363636363636365","1.2272727272727273","00:00:22"
"Либерия","19","16","0.47368421052631576","2.1578947368421053","00:01:59"
"Фиджи","18","18","0.7777777777777779","1.0","00:00:04"
"Американские Виргинские острова","17","10","0.4117647058823529","1.1176470588235294","00:00:14"
"Папуа-Новая Гвинея","17","8","0.17647058823529413","1.2352941176470589","00:00:26"
"Гуам","16","10","0.25","2.875","00:01:49"
"Нигер","16","15","0.25","3.0625","00:03:32"
"Сент-Люсия","16","16","0.375","1.4375","00:00:21"
"Синт-Мартен","16","9","0.375","1.5625","00:00:48"
"Эсватини","16","13","0.3125","1.8125","00:01:54"
"Гамбия","15","14","0.5333333333333333","1.4666666666666666","00:03:29"
"Французская Гвиана","15","13","0.2","1.9333333333333333","00:00:38"
"Тёркс и Кайкос","13","4","0.15384615384615385","3.0","00:03:29"
"Бермудские Острова","12","10","0.33333333333333326","3.6666666666666665","00:04:44"
"Сент-Китс и Невис","11","11","0.36363636363636365","1.4545454545454546","00:00:38"
"Антигуа и Барбуда","10","9","0.4","2.2","00:03:58"
"Вануату","9","8","0.0","1.4444444444444444","00:00:42"
"Гренада","9","9","0.2222222222222222","2.5555555555555554","00:02:11"
"Палау","8","3","0.25","2.0","00:03:10"
"Сан-Томе и Принсипи","7","5","0.14285714285714285","1.2857142857142858","00:00:18"
"Эритрея","7","5","0.14285714285714285","1.8571428571428572","00:01:00"
"Гвинея-Бисау","5","5","0.2","1.8","00:00:35"
"Сент-Винсент и Гренадины","4","4","0.5","1.75","00:00:17"
"Коморские острова","3","3","0.33333333333333326","2.0","00:00:44"
"Новая Каледония","3","3","0.33333333333333326","3.6666666666666665","00:01:55"
"Сан-Марино","3","3","0.33333333333333326","3.3333333333333335","00:05:15"
"Доминика","2","2","0.0","1.5","00:00:19"
"Восточный Тимор","1","1","1.0","1.0","00:00:00"
"Кирибати","1","1","0.0","1.0","00:00:15"
"Острова Кука","1","1","1.0","1.0","00:00:00"
"Тонга","1","1","0.0","3.0","00:03:00"
"Фолклендские острова","1","1","0.0","8.0","00:05:26"
